occupation,occupation_label,workers,avg_income,avg_income_low,avg_income_upp,avg_hours,sample_n,median_income,rank
1120,1120 - Diretores gerais e gerentes gerais,110297.50111861,22415.826972145624,15720.681885239112,29110.972059052136,45.38590231223968,219,11000,1
2212,2212 - Médicos especialistas,409320.57507415,19292.810581857895,17601.207774312377,20984.413389403413,46.10033295701483,837,15000,2
3355,3355 - Inspetores de polícia e detetives,74244.67810698,14251.602637915712,12230.087518265003,16273.11775756642,42.87107671930723,176,11000,3
0411,0411 - Oficiais de polícia militar,32134.16152657,13924.20700504261,12087.900861568709,15760.513148516511,42.35102971584316,91,12300,4
2619,2619 - Profissionais em direito não classificados anteriormente,167669.29318292,13703.883693588037,12577.111721058256,14830.655666117818,38.177992076850124,447,12000,5
1211,1211 - Dirigentes financeiros,129635.98912142,13693.364666337375,11068.018747870603,16318.710584804146,45.79155425483821,246,8000,6
1330,1330 - Dirigentes de serviços de tecnologia da informação e comunicações,162993.26762521,13569.752465959535,11851.552314963394,15287.952616955676,42.49802350680345,250,10000,7
1349,1349 - Dirigentes e gerentes de serviços profissionais não classificados anteriormente,54317.291472360004,12839.541336413215,9554.252298136842,16124.830374689587,42.89255254069949,127,8000,8
2211,2211 - Médicos gerais,245907.69924483,12550.540803705795,11427.335060449326,13673.746546962264,42.88489055782472,544,12000,9
1323,1323 - Dirigentes de empresas de construção,60353.59772545,12483.472837550951,9781.015389449332,15185.93028565257,47.69623882762486,133,10000,10
2144,2144 - Engenheiros mecânicos,117212.2445246,12137.43957911231,10581.638991065356,13693.240167159263,43.29525358066022,192,10000,11
1221,1221 - Dirigentes de vendas e comercialização,406342.57271141,12085.876203854694,10374.298803545384,13797.453604164004,44.75907223254392,692,8000,12
2310,2310 - Professores de universidades e do ensino superior,324815.81991459,12046.959232660074,11264.76822776008,12829.150237560068,38.13125798760125,798,12000,13
1346,"1346 - Gerentes de sucursais de bancos, de serviços financeiros e de seguros",260669.8583817,11491.918684193337,10009.260609626344,12974.57675876033,40.81185859425681,457,8000,14
2151,2151 - Engenheiros eletricistas,87198.2834168,10916.459279380617,9300.315210305773,12532.603348455461,43.469237607825626,172,9000,15
