occupation,occupation_label,cell_sample_n_Homem,cell_sample_n_Mulher,avg_income_Homem,avg_income_Mulher,avg_income_low_Homem,avg_income_low_Mulher,avg_income_upp_Homem,avg_income_upp_Mulher,gap_women_vs_men,gap_note
1120,1120 - Diretores gerais e gerentes gerais,151,68,26712.10174288616,12655.624874876521,17679.58678904354,9345.711797247524,35744.61669672878,15965.537952505518,-0.5262212986199446,Cells with unweighted n >= 40 for both Homem and Mulher
1211,1211 - Dirigentes financeiros,116,130,17344.939100157077,9969.606599006342,12530.811274466396,8145.41628570412,22159.066925847757,11793.796912308564,-0.42521524339534544,Cells with unweighted n >= 40 for both Homem and Mulher
1221,1221 - Dirigentes de vendas e comercialização,446,246,13489.564139716103,9456.03893527371,11154.922805074782,7623.192917255272,15824.205474357424,11288.884953292147,-0.2990107880926153,Cells with unweighted n >= 40 for both Homem and Mulher
1346,"1346 - Gerentes de sucursais de bancos, de serviços financeiros e de seguros",234,223,13268.341744960228,9528.077165887858,10788.956429648711,8089.343591177393,15747.727060271744,10966.810740598323,-0.2818938983458916,Cells with unweighted n >= 40 for both Homem and Mulher
1330,1330 - Dirigentes de serviços de tecnologia da informação e comunicações,188,62,14382.910492967958,10459.45912573442,12280.415838312227,8358.476216365189,16485.40514762369,12560.442035103652,-0.2727856346705194,Cells with unweighted n >= 40 for both Homem and Mulher
2212,2212 - Médicos especialistas,459,378,21941.45511726084,15978.47917959321,18979.694458568458,14629.900400563549,24903.215775953224,17327.057958622874,-0.27176756991730655,Cells with unweighted n >= 40 for both Homem and Mulher
2211,2211 - Médicos gerais,239,305,14517.779345268957,10869.346994519237,12679.802523984128,9869.255075708636,16355.756166553785,11869.43891332984,-0.2513078800814442,Cells with unweighted n >= 40 for both Homem and Mulher
2310,2310 - Professores de universidades e do ensino superior,418,380,13035.737414104067,10846.336261253084,12032.199840680036,9879.502488818642,14039.274987528099,11813.170033687526,-0.16795376305157483,Cells with unweighted n >= 40 for both Homem and Mulher
2619,2619 - Profissionais em direito não classificados anteriormente,185,262,14263.919245302995,13272.023063511157,12354.829347028828,12068.077931637681,16173.009143577163,14475.968195384632,-0.06953882483024176,Cells with unweighted n >= 40 for both Homem and Mulher
3355,3355 - Inspetores de polícia e detetives,129,47,14427.447061340756,13622.814614672876,12151.937719730031,9417.313347563748,16702.95640295148,17828.315881782004,-0.05577095124638809,Cells with unweighted n >= 40 for both Homem and Mulher
